level_0,index,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
8277,8277,2022-12-03,N,Bowling Green,MAC,Morgan St.,H,"W, 86-76",107.8,122.5,74.1,116.1,51.9,20.3,37.1,77.8,102.6,53.1,21.6,35.9,20.3,18.6,-5
7739,7739,2022-12-03,N,North Alabama,ASun,Morehead St.,A,"W, 81-75",108.3,108.8,73.4,110.3,53.7,15,14.3,50,102.1,51.7,16.3,22.2,31.7,48.8,-7
7932,7932,2022-12-03,N,UT Rio Grande Valley,WAC,Western Illinois,A,"L, 90-72",88.1,117.4,77.9,92.4,56.1,25.7,20,33.3,115.5,58.1,12.8,25.7,46.8,3.5,-10
446,446,2022-12-03,N,Marquette,BE,Wisconsin,H,"L, 80-77",119.5,118.3,61.2,111.9,59.4,17.4,24.1,37.7,116.2,61,21.8,34.5,22,52.7,-4
7218,7218,2022-12-03,N,Northern Colorado,BSky,Colorado St.,A,"W, 88-83",128.7,109.3,69.6,126.4,65.2,18.7,29.2,30.4,119.2,60.8,8.6,9.7,21.7,86.8,5
2208,2208,2022-12-03,N,Oral Roberts,Sum,Tulsa,A,"W, 77-66",101.1,97,72.2,106.6,48.1,6.9,26.1,3.8,91.3,46.7,18,25,27.9,61.7,4
4605,4605,2022-12-03,N,Fordham,A10,Tulane,A,"W, 95-90",118,103.7,82.5,115.2,52.1,13.3,35.7,40.8,109.1,49.2,18.2,24.3,54.8,81.5,1
27,27,2022-12-03,N,Houston,Amer,Saint Mary's,N,"W, 53-48",110.1,78.4,56,94.6,39.5,8.9,28.6,15.8,85.7,46.7,30.3,39.3,17.4,98,4
6514,6514,2022-12-03,N,San Diego,WCC,UNLV,H,"L, 95-78",107.3,125.5,75,104,54,22.7,30.3,21,126.7,63.6,14.7,25.8,45.8,14.1,-12
9629,9629,2022-12-03,N,William & Mary,CAA,Richmond,H,"W, 58-57",99.7,93.8,60.6,95.7,53.9,23.1,22.2,7.8,94,49,18.1,20,13.5,66.9,5
5414,5414,2022-12-03,N,Chattanooga,SC,Gardner Webb,A,"W, 82-71",115.1,104.5,72.9,112.5,61.7,26.1,23.1,66,97.4,48.3,13.7,21.1,31.7,75.3,3
6873,6873,2022-12-03,C,Detroit,Horz,Cleveland St.,A,"L, 92-77",107.1,127.2,72.2,106.6,46.3,20.8,47.6,31.3,127.4,57.9,11.1,27.3,34.9,12.2,-11
10809,10809,2022-12-03,N,Mississippi Valley S,SWAC,Mississippi St.,A,"L, 82-52",102.1,125.8,62.1,83.7,46.9,22.5,22.6,18.4,132,52.3,12.9,52.8,32.3,8.3,-11
7310,7310,2022-12-03,N,Delaware,CAA,Davidson,H,"W, 69-67",111.1,99.9,63.7,108.3,54.2,11,29.4,23.7,105.1,46.9,7.8,21.6,12.5,77.2,7
10598,10598,2022-12-03,N,Hampton,CAA,Howard,H,"W, 74-65",104.6,95.8,69,107.2,47.3,18.8,39,57.1,94.2,47.2,24.6,34.3,47.2,73.2,7
4202,4202,2022-12-03,N,Butler,BE,Tennessee Tech,H,"W, 80-66",121.1,114.7,61.2,130.8,59.4,9.8,28.6,39.6,107.9,47.7,9.8,34.2,10.8,65.1,6
10103,10103,2022-12-03,N,St. Francis PA,NEC,Ohio St.,A,"L, 96-59",98.2,120,67.9,86.8,45.8,16.2,14.3,11.9,141.3,60.1,10.3,45.9,26.1,9.1,-12
6469,6469,2022-12-03,N,La Salle,A10,Penn,A,"W, 84-81",113.6,106.1,64.9,115,54.4,13.7,32.5,25,110.9,52.5,13.7,21.1,34.4,68.8,-3
4707,4707,2022-12-03,N,Troy,SB,SIU Edwardsville,A,"L, 78-72",111.2,127.9,64,112.6,51.7,26.6,50,24.1,122,56.7,21.9,47.2,57.7,16.6,-5
8643,8643,2022-12-03,C,Illinois Chicago,MVC,Drake,A,"L, 77-64",93.5,108.1,70.1,91.3,45.8,24.3,29.7,22,109.9,57.5,15.7,16.1,39.6,15.9,-17
1972,1972,2022-12-03,N,Dayton,A10,Southeastern Louisia,H,"W, 80-74",113.4,117.1,65.3,122.4,66.3,19.9,29.2,79.1,113.2,55.5,13.8,21.2,32.7,40.9,3
7346,7346,2022-12-03,N,Army,Pat,Wagner,H,"W, 75-64",107,105.7,68.8,109.1,53.1,21.8,32.3,57.1,93.1,47.6,21.8,29.3,17.7,53.5,7
5283,5283,2022-12-03,C,Cleveland St.,Horz,Detroit,H,"W, 92-77",116.6,101.8,72.2,127.4,57.9,11.1,27.3,34.9,106.6,46.3,20.8,47.6,31.3,82.7,11
4295,4295,2022-12-03,N,Utah Tech,WAC,Weber St.,A,"W, 77-65",125.3,99.9,65.8,117.1,58,16.7,22.2,44,98.8,54.3,19.8,4,37,93.1,11
2269,2269,2022-12-03,N,College of Charlesto,CAA,The Citadel,A,"W, 79-57",103.5,86.7,71.2,111,45.7,11.2,36.2,31.9,80.1,36.8,11.2,9.8,40.4,88.4,11
3384,3384,2022-12-03,N,UNC Greensboro,SC,Elon,A,"W, 65-61",94.2,91.1,68.2,95.3,47.6,14.7,25.6,17.7,89.5,49,22,15.2,28.8,59.5,7
581,581,2022-12-03,N,West Virginia,B12,Xavier,A,"L, 84-74",115.5,98.1,71.2,104,53.4,16.9,24.2,25.4,118,58.7,21.1,31,57.7,86.8,3
701,701,2022-12-03,C,Duke,ACC,Boston College,H,"W, 75-59",119.6,97.8,62.7,119.6,60.4,15.9,26.9,24.5,94.1,41.4,14.3,35.9,14.1,91,9
1894,1894,2022-12-03,N,Nevada,MWC,Loyola Marymount,A,"L, 64-52",85.5,93,63.9,81.4,38.2,14.1,13.9,29.4,100.2,48.2,20.4,34.4,28.6,27.5,-4
53,53,2022-12-03,N,Alabama,SEC,South Dakota St.,H,"W, 78-65",109.6,95.2,69.7,111.9,49.3,14.4,34.1,22.1,93.3,47.5,15.8,21.1,18,83.5,8
8094,8094,2022-12-03,C,Fairfield,MAAC,Saint Peter's,H,"W, 67-55",100.2,94.9,63.8,105,50,20.4,25.9,73.8,86.2,40,15.7,31,9.2,65.1,7
9725,9725,2022-12-03,N,Nebraska Omaha,Sum,North Texas,A,"L, 75-45",83.4,103.5,65.1,69.1,33.3,18.4,15.8,31.4,115.2,52.5,21.5,42.9,27.1,7.7,-10
2099,2099,2022-12-03,N,VCU,A10,Temple,A,"L, 83-73",109.4,113,70.2,104,55.9,25.7,29.6,39.2,118.3,56.5,20,35.5,50,40.9,-6
7263,7263,2022-12-03,N,Jacksonville St.,ASun,East Tennessee St.,A,"W, 63-61",100.5,103.6,61.2,102.9,56.8,22.9,18.5,34.1,99.6,50,19.6,30.3,8.6,41.3,-1
5320,5320,2022-12-03,C,Boston College,ACC,Duke,A,"L, 75-59",106.5,108.8,62.7,94.1,41.4,14.3,35.9,14.1,119.6,60.4,15.9,26.9,24.5,44,-9
8682,8682,2022-12-03,N,New Hampshire,AE,Columbia,A,"L, 56-52",77.2,91.2,65.8,79,34.2,24.3,37,28.3,85.1,47,21.3,20.6,32,12.8,0
9512,9512,2022-12-03,N,Elon,CAA,UNC Greensboro,H,"L, 65-61",91.6,100.4,68.2,89.5,49,22,15.2,28.8,95.3,47.6,14.7,25.6,17.7,26,-7
7764,7764,2022-12-03,N,USC Upstate,BSth,Western Carolina,A,"W, 79-64",108.8,96.8,69.3,114,56.1,17.3,21.7,59.2,92.3,40.8,21.6,41.9,41.7,79.3,5
5804,5804,2022-12-03,N,South Dakota St.,Sum,Alabama,A,"L, 78-65",110.5,99.2,69.7,93.3,47.5,15.8,21.1,18,111.9,49.3,14.4,34.1,22.1,77.7,-8
4163,4163,2022-12-03,N,Air Force,MWC,Portland St.,A,"L, 68-64",90.7,95.3,70.5,90.8,45.6,24.1,24.1,75.6,96.5,54.5,19.9,4.3,61.4,36.3,0
2463,2463,2022-12-03,N,Santa Clara,WCC,Sacramento St.,H,"W, 72-65",106.8,109.1,62.9,114.4,50,12.7,35.3,23,103.3,45.3,17.5,45,17.2,43.8,2
10034,10034,2022-12-03,N,Stonehill,NEC,Binghamton,A,"W, 69-66",101.4,101,67.1,102.9,54.2,16.4,13.3,43.8,98.4,47.6,22.4,34.1,21,51.1,5
3768,3768,2022-12-03,N,UC Santa Barbara,BW,Pacific,H,"W, 82-71",116.4,104.8,67.3,121.8,65.2,19.3,33.3,32.1,105.5,50.8,19.3,38.5,27.9,77.1,5
473,473,2022-12-03,N,Texas A&M,SEC,Boise St.,N,"L, 86-71",117.5,119.3,67.7,104.8,45.7,13.3,31.4,44.8,127,64.8,22.1,34.6,81.8,45.7,-7
10438,10438,2022-12-03,N,Lindenwood,OVC,UMKC,A,"L, 61-47",70.4,102.2,65.1,72.3,32.8,16.9,20.5,20.7,93.8,46.9,30.7,46.9,50,1.4,-9
8133,8133,2022-12-03,N,North Dakota,Sum,Portland,A,"L, 90-69",95.7,116.2,71.6,96.3,48.4,18.2,25.6,19,125.7,63.3,15.4,30.8,30,9.7,-10
9007,9007,2022-12-03,N,Tulsa,Amer,Oral Roberts,H,"L, 77-66",94.9,97.6,72.2,91.3,46.7,18,25,27.9,106.6,48.1,6.9,26.1,3.8,42.1,-4
1834,1834,2022-12-03,N,Providence,BE,Rhode Island,A,"W, 88-74",128.5,112.9,69.9,126,58.7,12.9,36.4,31.7,105.9,50.8,15.7,26.5,17.5,81.6,7
3560,3560,2022-12-03,N,Duquesne,A10,Ball St.,H,"W, 78-77",115.7,120.7,63.8,122.3,56.8,17.3,37.5,23.7,120.8,62.5,17.3,27.6,52.1,38,-4
2473,2473,2022-12-03,N,Wisconsin,B10,Marquette,A,"W, 80-77",128.6,95.6,61.2,116.2,61,21.8,34.5,22,111.9,59.4,17.4,24.1,37.7,96.8,4
9924,9924,2022-12-03,N,UMKC,Sum,Lindenwood,H,"W, 61-47",86.2,79.6,65.1,93.8,46.9,30.7,46.9,50,72.3,32.8,16.9,20.5,20.7,71.4,9
955,955,2022-12-03,C,Indiana,B10,Rutgers,A,"L, 63-48",88.1,90.5,66.3,72.4,35.7,21.1,23.1,25,95,41.7,19.6,41.5,31.7,42.3,-5
1385,1385,2022-12-03,C,Drake,MVC,Illinois Chicago,H,"W, 77-64",111.2,91.8,70.1,109.9,57.5,15.7,16.1,39.6,91.3,45.8,24.3,29.7,22,90,17
9022,9022,2022-12-03,N,Bucknell,Pat,NJIT,A,"W, 79-63",108.5,95.5,69.5,113.6,61,17.3,23.3,16.9,90.6,37.9,8.6,16.7,48.3,81.3,10
1615,1615,2022-12-03,N,Ohio St.,B10,St. Francis PA,H,"W, 96-59",119.7,99.2,67.9,141.3,60.1,10.3,45.9,26.1,86.8,45.8,16.2,14.3,11.9,89.7,12
6235,6235,2022-12-03,N,Gardner Webb,BSth,Chattanooga,H,"L, 82-71",95.8,108.1,72.9,97.4,48.3,13.7,21.1,31.7,112.5,61.7,26.1,23.1,66,19.8,-3
4344,4344,2022-12-03,N,Ohio,MAC,Marshall,A,"L, 83-69",100.6,118,68.5,100.7,48.5,19,35.9,9,121.1,51.3,8.8,42.2,14.5,13.8,-16
4574,4574,2022-12-03,N,Long Beach St.,BW,Utah Valley,A,"L, 88-78",113.2,110,77,101.3,45.1,19.5,39.1,26.4,114.3,57,18.2,32.4,32.8,58,-5
9752,9752,2022-12-03,N,Loyola MD,Pat,Coppin St.,H,"L, 74-71",89.5,108.8,72.4,98.1,53.7,20.7,28.1,40.7,102.3,59.6,23.5,13.8,15.8,9.6,2
2060,2060,2022-12-03,N,Villanova,BE,Oklahoma,H,"W, 70-66",128.5,115.3,56.7,123.6,64.8,12.4,9.5,36.4,116.5,58,22.9,41.4,24,77.6,-3
10679,10679,2022-12-03,C,Evansville,MVC,Northern Iowa,A,"L, 72-55",81.7,111.1,65.8,83.6,40.7,16.7,21.1,15.3,109.5,54,16.7,34.3,14.5,2.8,-13
6754,6754,2022-12-03,N,Northern Arizona,BSky,Pepperdine,A,"L, 88-69",100.7,117,71.5,96.5,45.1,19.6,33.3,34.4,123,61.9,11.2,24.2,27,15,-4
2440,2440,2022-12-03,N,BYU,WCC,South Dakota,N,"L, 69-68",80,101.6,73.7,92.3,40.2,19,27.3,37.7,93.7,54.2,27.2,17.6,50,6,-10
3878,3878,2022-12-03,N,Loyola Marymount,WCC,Nevada,H,"W, 64-52",103.3,80.7,63.9,100.2,48.2,20.4,34.4,28.6,81.4,38.2,14.1,13.9,29.4,94.5,4
4781,4781,2022-12-03,N,Cal Baptist,WAC,Cal Poly,A,"L, 64-53",92.6,108.7,61.9,85.6,44.3,24.2,33.3,22.6,103.4,48,14.5,16.1,34,13.6,0
3510,3510,2022-12-03,N,Southern Utah,WAC,Idaho St.,A,"W, 69-59",98.9,84,69.7,99,43.8,24.4,32.3,64.6,84.7,44.5,27.3,30.8,29.1,86.7,9
6653,6653,2022-12-03,N,South Carolina,SEC,Georgetown,A,"W, 74-71",105,105.6,61,107.9,53.2,23.3,41.7,21,103.5,45.4,13.1,38.5,29.2,48.3,-4
3732,3732,2022-12-03,N,UMass Lowell,AE,Sacred Heart,A,"W, 70-59",89.5,86.5,74.1,94.5,44.4,23,35.9,27,79.7,40.5,20.3,20.5,32.8,59.6,6
783,783,2022-12-03,N,Memphis,Amer,Mississippi,H,"W, 68-57",107.5,81.1,66.9,101.7,39.9,16.4,50,23.2,85.2,37.3,23.9,46.3,20.6,96.2,12
5001,5001,2022-12-03,N,SMU,Amer,Jackson St.,H,"L, 69-68",91.6,109.9,68.6,99.2,53.3,13.1,11.4,10,100.6,54.2,20.4,25,15,11,-3
10144,10144,2022-12-03,N,Austin Peay,ASun,Tennessee St.,H,"W, 77-61",111.2,105.4,63.2,121.8,58.8,17.4,34.6,39.2,96.5,47,19,25,42,65,5
7629,7629,2022-12-03,N,Winthrop,BSth,Coastal Carolina,H,"L, 86-81",101.9,118.5,72.9,111.1,54.2,20.6,36.1,33.3,117.9,56,19.2,33.3,44.8,15,0
4876,4876,2022-12-03,C,Northern Kentucky,Horz,Robert Morris,H,"W, 60-56",93.7,99.8,62.1,96.7,46.2,22.6,38.2,34.6,90.2,55.8,25.8,14.8,37.2,32.5,-1
6424,6424,2022-12-03,C,Florida St.,ACC,Virginia,A,"L, 62-57",98.4,90.7,64.3,88.6,37.5,20.2,38.1,14.1,96.4,40.2,18.7,33.3,51,71.9,-4
5348,5348,2022-12-03,N,Ball St.,MAC,Duquesne,A,"L, 78-77",126.8,115.1,63.8,120.8,62.5,17.3,27.6,52.1,122.3,56.8,17.3,37.5,23.7,75.3,4
6091,6091,2022-12-03,N,Old Dominion,SB,Norfolk St.,H,"W, 68-62",102.4,105.6,60.7,112,49,9.9,34.3,57.7,102.1,52.8,18.1,28.1,24.5,41.1,-2
7300,7300,2022-12-03,N,Portland St.,BSky,Air Force,H,"W, 68-64",94.9,92.2,70.5,96.5,54.5,19.9,4.3,61.4,90.8,45.6,24.1,24.1,75.6,58.2,0
3266,3266,2022-12-03,N,Temple,Amer,VCU,H,"W, 83-73",129.9,104.7,70.2,118.3,56.5,20,35.5,50,104,55.9,25.7,29.6,39.2,92.3,6
8567,8567,2022-12-03,N,Tennessee Tech,OVC,Butler,A,"L, 80-66",118.8,133,61.2,107.9,47.7,9.8,34.2,10.8,130.8,59.4,9.8,28.6,39.6,21.4,-6
5049,5049,2022-12-03,N,Pacific,WCC,UC Santa Barbara,A,"L, 82-71",106.4,112.3,67.3,105.5,50.8,19.3,38.5,27.9,121.8,65.2,19.3,33.3,32.1,34.8,-5
3747,3747,2022-12-03,N,Penn,Ivy,La Salle,H,"L, 84-81",109,115.4,64.9,110.9,52.5,13.7,21.1,34.4,115,54.4,13.7,32.5,25,34.1,3
3955,3955,2022-12-03,N,Fresno St.,MWC,UC Irvine,A,"W, 80-66",123.7,98.3,67,119.4,58.3,14.9,34.6,20,98.5,47.5,16.4,27.3,14.8,93.4,3
7716,7716,2022-12-03,N,East Tennessee St.,SC,Jacksonville St.,H,"L, 63-61",97.8,106,61.2,99.6,50,19.6,30.3,8.6,102.9,56.8,22.9,18.5,34.1,28.5,1
7691,7691,2022-12-04,C,Canisius,MAAC,Iona,A,"L, 90-60",92.7,110.4,73.6,81.5,38.4,27.2,42.6,15.9,122.3,62.7,14.9,24.1,35.6,11.9,-11
1061,1061,2022-12-04,C,Northwestern,B10,Michigan St.,A,"W, 70-63",114,89.2,66.1,106,50,18.2,21.4,49,95.4,49.1,19.7,24.2,21.8,94.4,1
2147,2147,2022-12-04,C,Utah,P12,Washington St.,A,"W, 67-65",95.8,79.6,67.2,88.6,48.2,25.1,27,41.8,85.9,35.3,15.9,32,38.2,89.3,1
429,429,2022-12-04,N,Creighton,BE,Nebraska,H,"L, 63-53",79.3,86.3,71.3,74.3,38.5,21,21.3,7.7,88.3,50,18.2,15.6,11.9,27.2,-3
8149,8149,2022-12-04,C,California,P12,Arizona,A,"L, 81-68",111.3,104.9,66.6,102.1,47.6,13.5,23.5,12.7,121.7,52.5,7.5,32.4,44.1,66.2,-9
4890,4890,2022-12-04,C,Youngstown St.,Horz,Wright St.,A,"W, 88-77",116,107,73.8,119.2,63,19,20,40.7,104.3,47.2,14.9,35,18.3,71.8,1
8760,8760,2022-12-04,N,Maine,AE,Marist,N,"L, 62-61",95.6,107.7,62.2,98,44.7,19.3,37.1,24.6,99.6,54.9,24.1,28.6,15.7,20.1,-2
1268,1268,2022-12-04,C,North Carolina,ACC,Virginia Tech,A,"L, 80-72",104.4,107.7,69,104.4,50,14.5,12.1,52.9,116,56.6,14.5,32.3,24.6,41.2,-9
2012,2012,2022-12-04,N,UCF,Amer,Samford,H,"W, 80-77",102.7,100.5,67.1,106,51.8,18.6,24.2,61.8,102,44.9,13.3,24.3,49.2,56.2,1
2049,2049,2022-12-04,C,Colorado,P12,Washington,A,"L, 73-63",94.8,99.5,71.9,87.6,48.3,25,36.1,22,101.5,56.7,25,19,30.8,36.3,-5
8802,8802,2022-12-04,N,Merrimack,NEC,Vermont,H,"L, 66-43",68.7,100.7,62.9,68.3,35.3,15.9,12.8,29.4,104.9,48.3,19.1,34.2,20.7,1.2,-14
1243,1243,2022-12-04,C,Miami FL,ACC,Louisville,A,"W, 80-53",102.3,73.8,74.4,107.5,54.7,21.5,30.3,17.2,71.2,32.5,25.5,27.5,31.6,97.7,15
5977,5977,2022-12-04,N,Texas St.,SB,Rice,H,"L, 83-71",92.2,120.8,70.1,101.3,50,17.1,26.5,23.3,118.4,65.4,18.6,14.8,38.5,4.3,-11
8621,8621,2022-12-04,N,Southern Indiana,OVC,Chicago St.,A,"L, 78-61",91.1,115.8,65.7,92.9,46.2,21.3,27.3,35.8,118.7,64.8,21.3,24,59.1,5.9,-4
10997,10997,2022-12-04,N,Hartford,ind,Brown,H,"L, 65-51",78.8,103.9,66.2,77.1,41.8,22.7,14.7,32.7,98.3,60,22.7,20,24,4,-9
3525,3525,2022-12-04,C,Washington,P12,Colorado,H,"W, 73-63",110.1,88.6,71.9,101.5,56.7,25,19,30.8,87.6,48.3,25,36.1,22,92.4,5
4398,4398,2022-12-04,N,Samford,SC,UCF,A,"L, 80-77",111.5,99.3,67.1,102,44.9,13.3,24.3,49.2,106,51.8,18.6,24.2,61.8,79.1,-1
5496,5496,2022-12-04,N,Stetson,ASun,Florida,A,"L, 89-51",93.2,120.5,67,76.1,37,23.9,26.3,29.6,132.9,63.2,16.4,35.7,49.1,4.9,-11
8481,8481,2022-12-04,N,Denver,Sum,Texas A&M Commerce,H,"W, 84-75",107.5,114.5,70.2,119.6,55.7,22.8,50,64.2,106.8,52.9,17.1,32.5,10.3,32.5,3
8866,8866,2022-12-04,C,Illinois St.,MVC,Belmont,H,"W, 87-77",115.6,106,71.3,122,66.4,26.6,40,30.9,108,52.5,12.6,18.2,30.5,72.9,2
6986,6986,2022-12-04,N,Northwestern St.,Slnd,Southern Miss,H,"W, 84-82",113.5,107.7,75.7,111,51.4,14.5,28.6,22.9,108.4,61.3,25.1,35.5,16.1,64.7,0
2939,2939,2022-12-04,N,South Alabama,SB,UAB,A,"L, 76-68",99.6,94.1,73.7,92.3,49.2,16.3,15.4,32.2,103.1,45.1,14.9,28.9,42.6,65.9,-4
7853,7853,2022-12-04,C,Niagara,MAAC,Quinnipiac,A,"W, 64-60",110.3,102.3,58.4,109.6,50,18.8,40.6,25.9,102.8,52.9,18.8,37.9,29.4,70.2,2
6302,6302,2022-12-04,N,FIU,CUSA,Florida Gulf Coast,A,"L, 74-65",92.9,105.3,69.8,93.1,44.4,18.6,32.5,23.8,106,53.6,21.5,30.3,32.1,19.1,-5
6810,6810,2022-12-04,C,Murray St.,MVC,Valparaiso,A,"W, 77-70",102.4,105.9,64.1,106.8,52.5,18,28.6,35,97.1,45.6,18,35.7,16.2,40.6,-2
9356,9356,2022-12-04,N,Northeastern,CAA,Georgia St.,H,"W, 66-46",91.6,71,69.7,94.7,47.4,25.8,46.4,24.1,66,28.7,8.6,19.6,14.7,94.9,13
1666,1666,2022-12-04,C,Washington St.,P12,Utah,H,"L, 67-65",92.7,87.4,67.2,85.9,35.3,15.9,32,38.2,88.6,48.2,25.1,27,41.8,66.3,-1
744,744,2022-12-04,N,Utah St.,MWC,San Francisco,N,"W, 82-64",115.9,84.2,72.3,113.4,54,11.1,26.7,29,88.5,50,24.9,21.4,27.3,97.5,11
1089,1089,2022-12-04,N,Florida Atlantic,CUSA,Eastern Michigan,A,"W, 101-73",124.3,106.7,73.2,138,69.2,13.7,38.7,30.8,99.7,44.4,10.9,20,40.3,85.3,10
846,846,2022-12-04,N,Kentucky,SEC,Michigan,N,"W, 73-69",109.2,91.8,70.8,103.1,54.3,19.8,31.6,34.5,97.5,45.3,9.9,17.1,26.6,88.1,1
974,974,2022-12-04,C,Michigan St.,B10,Northwestern,H,"L, 70-63",107.6,101.3,66.1,95.4,49.1,19.7,24.2,21.8,106,50,18.2,21.4,49,66.7,-1
1460,1460,2022-12-04,N,UAB,CUSA,South Alabama,H,"W, 76-68",105.9,90.9,73.7,103.1,45.1,14.9,28.9,42.6,92.3,49.2,16.3,15.4,32.2,85.3,4
9263,9263,2022-12-04,N,Chicago St.,ind,Southern Indiana,H,"W, 78-61",105.4,100.5,65.7,118.7,64.8,21.3,24,59.1,92.9,46.2,21.3,27.3,35.8,63.5,4
92,92,2022-12-04,C,UCLA,P12,Oregon,H,"W, 65-56",103.6,87.1,62.3,104.4,43.8,14.5,44.4,17.2,89.9,53.1,24.1,20,14.3,88,-1
7047,7047,2022-12-04,N,Rice,CUSA,Texas St.,A,"W, 83-71",120.5,97.7,70.1,118.4,65.4,18.6,14.8,38.5,101.3,50,17.1,26.5,23.3,91.8,11
8458,8458,2022-12-04,N,Marist,MAAC,Maine,N,"W, 62-61",97.5,103.4,62.2,99.6,54.9,24.1,28.6,15.7,98,44.7,19.3,37.1,24.6,33.5,2
10687,10687,2022-12-04,N,Monmouth,CAA,Manhattan,A,"W, 76-69",108.8,101.6,70.1,108.5,57.8,20,30,52.9,98.5,48.1,21.4,30.3,52.8,68.7,9
9559,9559,2022-12-04,N,Eastern Michigan,MAC,Florida Atlantic,H,"L, 101-73",111.7,125.3,73.2,99.7,44.4,10.9,20,40.3,138,69.2,13.7,38.7,30.8,21.1,-10
170,170,2022-12-04,C,Purdue,B10,Minnesota,H,"W, 89-70",127.5,107.2,68.2,130.5,56.2,10.3,40,27.7,102.7,55.1,11.7,9.4,13.6,88.1,11
6026,6026,2022-12-04,C,Wright St.,Horz,Youngstown St.,H,"L, 88-77",101.3,110.9,73.8,104.3,47.2,14.9,35,18.3,119.2,63,19,20,40.7,26.1,-1
1137,1137,2022-12-04,N,Cincinnati,Amer,Bryant,H,"W, 97-71",104.8,82.6,88.7,109.3,58.9,20.3,29.3,28.8,80,35.1,14.7,21.4,28.6,93.9,15
279,279,2022-12-04,C,Arizona,P12,California,H,"W, 81-68",121.2,111.4,66.6,121.7,52.5,7.5,32.4,44.1,102.1,47.6,13.5,23.5,12.7,72.6,9
6532,6532,2022-12-04,C,Minnesota,B10,Purdue,A,"L, 89-70",115.6,112.1,68.2,102.7,55.1,11.7,9.4,13.6,130.5,56.2,10.3,40,27.7,58.9,-11
2385,2385,2022-12-04,N,Florida,SEC,Stetson,H,"W, 89-51",114.3,79.8,67,132.9,63.2,16.4,35.7,49.1,76.1,37,23.9,26.3,29.6,98.4,11
9546,9546,2022-12-04,N,Manhattan,MAAC,Monmouth,H,"L, 76-69",89.6,128.9,70.1,98.5,48.1,21.4,30.3,52.8,108.5,57.8,20,30,52.9,1.5,-9
5562,5562,2022-12-04,N,Radford,BSth,George Washington,H,"W, 86-76",115.8,105,69.5,123.7,60.3,15.8,39.3,36.2,109.4,55.1,15.8,22.2,32.2,75.5,8
2573,2573,2022-12-04,C,Virginia Tech,ACC,North Carolina,H,"W, 80-72",126.5,96.9,69,116,56.6,14.5,32.3,24.6,104.4,50,14.5,12.1,52.9,95.5,9
4963,4963,2022-12-04,N,Cornell,Ivy,Lafayette,H,"W, 73-68",105.8,112.9,68.4,106.7,49.2,11.7,27.8,29.5,99.4,49.2,20.5,28.6,18.3,32.1,1
106,106,2022-12-04,N,Tennessee,SEC,Alcorn St.,H,"W, 94-40",123.2,68.2,69,136.2,58.7,15.9,53.1,38.1,58,28.1,31.9,22.9,33.3,99.9,22
9075,9075,2022-12-04,N,Georgia St.,SB,Northeastern,A,"L, 66-46",63.6,101,69.7,66,28.7,8.6,19.6,14.7,94.7,47.4,25.8,46.4,24.1,0.5,-13
7908,7908,2022-12-04,N,Alcorn St.,SWAC,Tennessee,A,"L, 94-40",78.1,118.7,69,58,28.1,31.9,22.9,33.3,136.2,58.7,15.9,53.1,38.1,0.8,-22
8219,8219,2022-12-04,N,Lafayette,Pat,Cornell,A,"L, 73-68",97,98.4,68.4,99.4,49.2,20.5,28.6,18.3,106.7,49.2,11.7,27.8,29.5,46,-1
3250,3250,2022-12-04,N,Southern Miss,SB,Northwestern St.,A,"L, 84-82",105.9,108.9,75.7,108.4,61.3,25.1,35.5,16.1,111,51.4,14.5,28.6,22.9,42.2,0
2565,2565,2022-12-04,C,Stanford,P12,Arizona St.,A,"L, 68-64",95.8,92.9,72.6,88.2,40.6,20.7,30.2,21.9,93.7,47.4,23.4,31.4,35.1,58.8,-6
8705,8705,2022-12-04,C,Valparaiso,MVC,Murray St.,H,"L, 77-70",94.6,103.8,64.1,97.1,45.6,18,35.7,16.2,106.8,52.5,18,28.6,35,25.7,2
8054,8054,2022-12-04,N,Southeast Missouri S,OVC,Missouri,A,"L, 96-89",111.3,108.3,79,112.6,64.3,22.8,27.6,23.8,121.5,64.8,17.7,26.7,37.7,57.8,-9
1525,1525,2022-12-04,N,Michigan,B10,Kentucky,N,"L, 73-69",103.5,91.7,70.8,97.5,45.3,9.9,17.1,26.6,103.1,54.3,19.8,31.6,34.5,80.1,-1
6325,6325,2022-12-04,N,Florida Gulf Coast,ASun,FIU,H,"W, 74-65",103.3,96.2,69.8,106,53.6,21.5,30.3,32.1,93.1,44.4,18.6,32.5,23.8,69.4,5
2239,2239,2022-12-04,C,Arizona St.,P12,Stanford,H,"W, 68-64",95.3,79.6,72.6,93.7,47.4,23.4,31.4,35.1,88.2,40.6,20.7,30.2,21.9,88.8,6
8413,8413,2022-12-04,C,Louisville,ACC,Miami FL,H,"L, 80-53",72.8,95.2,74.4,71.2,32.5,25.5,27.5,31.6,107.5,54.7,21.5,30.3,17.2,4.4,-15
1815,1815,2022-12-04,N,Missouri,SEC,Southeast Missouri S,H,"W, 96-89",118.4,116,79,121.5,64.8,17.7,26.7,37.7,112.6,64.3,22.8,27.6,23.8,55.9,9
